Site,Description,Creek,Latitude,Longitude,Field,Lab,Stream,Fim,Bact,Ism,HabType,Fish,Cmann,ANID,YSIsiteID,Bmp,Alias,BmpType,Lake,MilesSuit,Miles,USGSID,Inactive,Comments,X,Y,Basin,EventSort,CIP,DA (MI²)
NTWPSI,North Tryon Wet Pond Secondary Influent,Upper Little Sugar,35.259775,-80.791413,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,TRUE,NTWP,Inlet2,FALSE,FALSE,,,FALSE,Hidden Valley Wet Pond,,,,,FALSE,
PPE,Pierson's Pond Effluent,Briar Creek,35.202097,-80.770365,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,TRUE,PP,Outlet,FALSE,FALSE,,,TRUE,,,,,,FALSE,
PPI,Pierson's Pond Influent,Briar Creek,35.201467,-80.769399,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,TRUE,PP,Inlet,FALSE,FALSE,,,TRUE,,,,,,FALSE,
PPSE,Providence Prep School Primary Effluent,,35.16986,-80.805888,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,TRUE,PPS,Outlet,FALSE,FALSE,,,FALSE,,,,,,FALSE,
PPSPI,Providence Prep School Primary Influent,,35.169957,-80.805959,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,TRUE,PPS,Inlet,FALSE,FALSE,,,FALSE,,,,,,FALSE,
PPSSI,Providence Prep School Secondary Influent,,35.16988,-80.805968,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,TRUE,PPS,Inlet2,FALSE,FALSE,,,FALSE,,,,,,FALSE,
PRPPE,Park Rd. Park Pond Effluent,Little Sugar Creek,35.148787,-80.852742,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,TRUE,PRPP,Outlet,FALSE,FALSE,,,TRUE,,,,,,FALSE,
PRPRGE,Park Rd. Park Rain Garden Effluent,Little Sugar,35.149043,-80.850703,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,TRUE,PRPRG,Outlet,FALSE,FALSE,,,FALSE,,,,,,FALSE,
PRPRGI,Park Rd. Park Rain Garden Influent,Little Sugar,35.148922,-80.850846,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,TRUE,PRPRG,Inlet,FALSE,FALSE,,,FALSE,,,,,,FALSE,
PRSTCE,Park Rd. Shopping Ctr. Stormceptor Effluent,Upper Little Sugar,35.174911,-80.849327,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,TRUE,PRSTC,Outlet,FALSE,FALSE,,,TRUE,,,,,,FALSE,
PRSTCI,Park Rd. Shopping Ctr. Stormceptor Influent,Upper Little Sugar,35.174919,-80.849333,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,TRUE,PRSTC,Inlet,FALSE,FALSE,,,TRUE,,,,,,FALSE,
QTE,QT Gas Station Efflulent,,35.135887,-80.939324,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,TRUE,QT,Outlet,FALSE,FALSE,,,FALSE,,,,,,FALSE,
QTPI,QT Gas Station Primary Influent,,35.135723,-80.939144,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,TRUE,QT,Inlet,FALSE,FALSE,,,FALSE,,,,,,FALSE,
QTSI,QT Gas Station Secondary Influent,,35.135811,-80.939369,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,TRUE,QT,Inlet2,FALSE,FALSE,,,FALSE,,,,,,FALSE,
RCGE,N. Meck Recycling Center - Grass Effluent,McDowell Creek,35.387271,-80.846301,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,TRUE,RCG,Outlet,FALSE,FALSE,,,FALSE,,,,,,FALSE,
RCGF,N. Meck Recycling Center - Grass Forebay,McDowell Creek,35.387226,-80.846266,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,TRUE,RCG,Forebay,FALSE,FALSE,,,FALSE,,,,,,FALSE,
RCGI,N. Meck Recycling Center - Grass Influent,McDowell Creek,35.38725,-80.846212,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,TRUE,RCG,Inlet,FALSE,FALSE,,,FALSE,,,,,,FALSE,
RCSLE,N. Meck Recycling Center - Staylite Effluent,McDowell Creek,35.386816,-80.846134,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,TRUE,RCSL,Outlet,FALSE,FALSE,,,FALSE,,,,,,FALSE,
RCSLI,N. Meck Recycling Center - Staylite Influent,McDowell Creek,35.386954,-80.846095,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,TRUE,RCSL,Inlet,FALSE,FALSE,,,FALSE,,,,,,FALSE,
SESFE,Selwyn Elementary School Sand Filter Effluent,Briar Creek Trib,35.1666,-80.835584,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,TRUE,SESF,Outlet,FALSE,FALSE,,,FALSE,,,,,,FALSE,
SESFI1,Selwyn Elementary School Sand Filter Influent 1,Briar Creek Trib,35.166224,-80.83532,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,TRUE,SESF,Inlet,FALSE,FALSE,,,FALSE,,,,,,FALSE,
SESFI2,Selwyn Elementary School Sand Filter Influent 2,Briar Creek Trib,35.166288,-80.835265,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,TRUE,SESF,Inlet2,FALSE,FALSE,,,FALSE,,,,,,FALSE,
SESFI3,Selwyn Elementary School Sand Filter Influent 3,Briar Creek Trib,35.16636,-80.835263,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,TRUE,SESF,,FALSE,FALSE,,,FALSE,,,,,,FALSE,
SVPE,Shade Valley Pond Effluent,Briar Creek,35.194085,-80.777885,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,TRUE,SVP,Outlet,FALSE,FALSE,,,TRUE,,,,,,FALSE,
SVPF,Shade Valley Pond Forebay,Briar Creek,35.193683,-80.77812,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,TRUE,SVP,Forebay,FALSE,FALSE,,,TRUE,,,,,,FALSE,
SVPI,Shade Valley Pond Influent,Briar Creek,35.193506,-80.778188,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,TRUE,SVP,Inlet,FALSE,FALSE,,,TRUE,,,,,,FALSE,
UDDE,University Dry Detention Effluent,Doby Creek,35.300634,-80.756987,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,TRUE,UDD,Outlet,FALSE,FALSE,,,TRUE,,,,,,FALSE,
UDDI,University Dry Detention Influent,Doby Creek,35.301059,-80.756932,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,TRUE,UDD,Inlet,FALSE,FALSE,,,TRUE,,,,,,FALSE,
WFBWE,Westfield Brandywine Wetland Effluent,Upper Little Sugar,35.173122,-80.846331,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,TRUE,WFBW,Outlet,FALSE,FALSE,,,TRUE,,,,,,FALSE,
WFBWI1,Westfield Brandywine Wetland Influent 1,Upper Little Sugar,35.175227,-80.84607,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,TRUE,WFBW,Inlet,FALSE,FALSE,,,TRUE,,,,,,FALSE,
WFBWI2,Westfield Brandywine Wetland Influent 2,Upper Little Sugar,35.174666,-80.846057,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,TRUE,WFBW,Inlet2,FALSE,FALSE,,,TRUE,,,,,,FALSE,
WFHSE,Westfield Hillside Wetland Effluent,Upper Little Sugar,35.179076,-80.84605,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,TRUE,WFHS,Outlet,FALSE,FALSE,,,TRUE,,,,,,FALSE,
WFHSI1,Westfield Hillside Wetland Influent 1,Upper Little Sugar,35.180169,-80.845147,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,TRUE,WFHS,Inlet,FALSE,FALSE,,,TRUE,,,,,,FALSE,
WFHSI2,Westfield Hillside Wetland Influent 2,Upper Little Sugar,35.179049,-80.845411,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,TRUE,WFHS,Inlet2,FALSE,FALSE,,,TRUE,,,,,,FALSE,
WFLSE,Westfield Level Spreader Effluent,Upper Little Sugar,35.17986,-80.84624,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,TRUE,WFLS,Outlet,FALSE,FALSE,,,FALSE,,,,,,FALSE,
WFLSI,Westfield Level Spreader Influent,Upper Little Sugar,35.180047,-80.846688,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,TRUE,WFLS,Inlet,FALSE,FALSE,,,FALSE,,,,,,FALSE,
WWETE,Wellingford Wetland Effluent,Upper Little Sugar,35.261326,-80.789893,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,TRUE,WWET,Outlet,FALSE,FALSE,,,FALSE,,,,,,FALSE,
WWETI,Wellingford Wetland Influent,Upper Little Sugar,35.26169,-80.7899,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,TRUE,WWET,Inlet,FALSE,FALSE,,,FALSE,,,,,,FALSE,
